| Name                          | Version                           | License                                                                                          | URL                                                             |
| rpcq                          | 3.10.0                            | Apache-2.0                                                                                       | https://github.com/rigetticomputing/rpcq.git                    |
| rsa                           | 4.8                               | Apache Software License                                                                          | https://stuvel.eu/rsa                                           |
| ruamel.yaml                   | 0.17.21                           | MIT License                                                                                      | https://sourceforge.net/p/ruamel-yaml/code/ci/default/tree      |
| ruamel.yaml.clib              | 0.2.6                             | MIT License                                                                                      | https://sourceforge.net/p/ruamel-yaml-clib/code/ci/default/tree |
| scipy                         | 1.8.0                             | BSD License                                                                                      | https://www.scipy.org                                           |
| six                           | 1.16.0                            | MIT License                                                                                      | https://github.com/benjaminp/six                                |
| sniffio                       | 1.2.0                             | Apache Software License; MIT License                                                             | https://github.com/python-trio/sniffio                          |
| snowballstemmer               | 2.2.0                             | BSD License                                                                                      | https://github.com/snowballstem/snowball                        |
| sortedcontainers              | 2.4.0                             | Apache Software License                                                                          | http://www.grantjenks.com/docs/sortedcontainers/                |
| soupsieve                     | 2.3.2.post1                       | MIT License                                                                                      | UNKNOWN                                                         |
| sphinx-book-theme             | 0.3.3                             | BSD License                                                                                      | UNKNOWN                                                         |
| sphinxcontrib-applehelp       | 1.0.2                             | BSD License                                                                                      | http://sphinx-doc.org/                                          |
| sphinxcontrib-devhelp         | 1.0.2                             | BSD License                                                                                      | http://sphinx-doc.org/                                          |
| sphinxcontrib-htmlhelp        | 2.0.0                             | BSD License                                                                                      | http://sphinx-doc.org/                                          |
| sphinxcontrib-jsmath          | 1.0.1                             | BSD License                                                                                      | http://sphinx-doc.org/                                          |
| sphinxcontrib-qthelp          | 1.0.3                             | BSD License                                                                                      | http://sphinx-doc.org/                                          |
| sphinxcontrib-serializinghtml | 1.1.5                             | BSD License                                                                                      | http://sphinx-doc.org/                                          |
| stack-data                    | 0.2.0                             | MIT License                                                                                      | http://github.com/alexmojaki/stack_data                         |
| sympy                         | 1.9                               | BSD License                                                                                      | https://sympy.org                                               |
| terminado                     | 0.13.3                            | BSD License                                                                                      | https://github.com/jupyter/terminado                            |
| tinycss2                      | 1.1.1                             | BSD License                                                                                      | UNKNOWN                                                         |
